Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City C,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
48,Non-binary,PhD,Married,46408,632,48403,Personal,Unemployed,16,Excellent,0.185325306,93647,3,south jason,South Jason,KS,Guyana,1,0,Low
57,F,Bachelor's,Widowed,,673,16398,Business,Self-employed,8,Fair,0.483784345,159119,1,west michael,West Michael,TN,Nauru,1,0,Low
46,Non-binary,High School,Widowed,,637,6382,Auto,Self-employed,2,Good,0.5443904,156010,4,kevinbury,Kevinbury,NM,Guam,2,1,Low
57,F,Master's,Single,54754,604,11947,Home,Self-employed,13,Good,0.287418594,282006,,berryland,Berryland,VT,Thailand,2,0,High
47,F,High School,Single,33065,783,6895,Auto,Self-employed,2,Fair,0.116680916,158428,3,west sharon,West Sharon,AL,Seychelles,2,0,Low
18,F,Master's,Divorced,,748,14522,Home,Unemployed,14,Good,0.562809958,176629,,campbellfort,Campbellfort,AL,China,1,2,Low
21,M,Bachelor's,Widowed,73952,631,49525,Auto,Unemployed,3,Excellent,0.143644091,32912,0,west denisebury,West Denisebury,KY,French Guiana,1,2,Low
65,M,PhD,Widowed,77146,796,38386,Business,Self-employed,17,Fair,0.323186386,262145,0,johnsonside,Johnsonside,LA,Vietnam,4,1,Medium
39,Non-binary,PhD,Single,93509,703,16651,Auto,Unemployed,5,Fair,0.528582348,270036,0,north joshuaborough,North Joshuaborough,MI,Falkland Islands (Malvinas),0,0,Medium
69,Non-binary,High School,Divorced,,721,39416,Personal,Unemployed,4,Excellent,0.418045622,80601,,herrerafurt,Herrerafurt,RI,Holy See (Vatican City State),2,1,Medium
47,M,High School,Widowed,119747,613,26507,Business,Self-employed,10,Good,0.46492483,221402,,rickymouth,Rickymouth,CO,Sao Tome and Principe,1,0,Medium
67,M,PhD,Widowed,,608,12657,Business,Unemployed,18,Good,0.465760185,107089,1,east anthony,East Anthony,ND,Guam,0,0,Medium
36,M,Bachelor's,Divorced,29868,635,12521,Auto,Employed,17,Excellent,0.350454133,240325,2,wendyshire,Wendyshire,ND,Dominica,4,0,Low
36,F,Master's,Married,68776,612,47707,Personal,Unemployed,11,Fair,0.332396791,68491,0,port christopher,Port Christopher,NY,Brunei Darussalam,1,1,Low
54,F,Bachelor's,Married,98669,720,19464,Business,Unemployed,2,Poor,0.167904091,26571,0,smithview,Smithview,IA,French Polynesia,1,0,High
19,Non-binary,Master's,Single,112545,712,15503,Home,Unemployed,7,Poor,0.252172854,194154,0,ibarraport,Ibarraport,NJ,Zimbabwe,4,0,Low
48,M,Bachelor's,Single,,649,38575,Home,Self-employed,3,Fair,0.430090518,143440,3,kimstad,Kimstad,CT,Taiwan,0,0,Medium
44,Non-binary,PhD,Widowed,51280,750,22162,Home,Employed,11,Excellent,0.550130495,87579,3,east danielmouth,East Danielmouth,AS,Haiti,1,2,Medium
65,M,Master's,Divorced,106526,650,23161,Auto,Employed,19,Poor,0.544867397,98025,4,richardbury,Richardbury,ID,Armenia,0,0,Low
68,Non-binary,Master's,Married,,700,23834,Auto,Employed,1,Excellent,0.168123709,147082,4,johnsonview,Johnsonview,IL,Netherlands,2,0,Low
20,M,Master's,Widowed,,692,16283,Home,Self-employed,4,Good,0.466075526,144758,3,new laurabury,New Laurabury,MA,Somalia,1,1,Low
36,Non-binary,Bachelor's,Widowed,37105,720,33259,Home,Employed,7,Fair,0.412777028,294048,2,yvonneland,Yvonneland,NY,Brunei Darussalam,3,1,Medium
39,F,Master's,Widowed,100015,615,23114,Business,Unemployed,14,Poor,0.484642491,85309,0,new meganshire,New Meganshire,NV,French Polynesia,3,0,Low
50,F,Master's,Divorced,96293,708,21552,Auto,Employed,3,Excellent,0.12939421,255942,4,port amy,Port Amy,FM,Egypt,0,1,Low
38,Non-binary,Bachelor's,Single,48069,670,17841,Home,Unemployed,17,Excellent,0.157519127,241550,2,jacksonmouth,Jacksonmouth,WA,Jordan,0,2,Low
35,F,PhD,Married,72433,792,5747,Business,Self-employed,4,Good,0.327373935,112076,0,andreaborough,Andreaborough,NC,Thailand,3,2,Low
56,F,Master's,Single,,734,40516,Auto,Self-employed,9,Poor,0.378206875,203231,1,new zachary,New Zachary,IN,Swaziland,3,1,Low
22,Non-binary,Master's,Widowed,65266,617,34746,Home,Unemployed,18,Poor,0.268944281,40215,4,taylormouth,Taylormouth,ND,Botswana,1,1,Low
40,M,Master's,Widowed,98578,663,8747,Auto,Self-employed,1,Good,0.514670637,37396,0,jacobview,Jacobview,WV,Russian Federation,0,1,Low
39,M,High School,Married,90227,770,18079,Business,Employed,3,Poor,0.518758954,163838,1,south brianna,South Brianna,GU,Mali,0,1,Low
31,Non-binary,High School,Divorced,107081,740,18101,Business,Employed,5,Poor,0.108793817,25157,2,gordonbury,Gordonbury,AL,Ukraine,1,2,Low
45,F,High School,Widowed,82878,748,17023,Auto,Self-employed,19,Poor,0.584911257,192705,4,penamouth,Penamouth,NH,Ethiopia,4,1,Low
19,M,High School,Married,35817,731,44426,Home,Unemployed,1,Fair,0.505459747,20626,1,east triciatown,East Triciatown,WI,Angola,0,2,Low
36,F,High School,Married,65104,699,44260,Home,Employed,2,Excellent,0.337761725,135458,4,zacharyhaven,Zacharyhaven,NM,Guatemala,2,2,Low
43,M,PhD,Married,109698,793,46500,Personal,Self-employed,11,Good,0.347851155,159076,,tristanland,Tristanland,AZ,United States Minor Outlying Islands,1,1,Medium
23,M,Bachelor's,Single,28906,724,24532,Business,Unemployed,3,Poor,0.500613651,96640,2,lake evelynstad,Lake Evelynstad,CA,Monaco,0,0,Low
22,M,Master's,Widowed,104766,764,16117,Business,Unemployed,17,Good,0.211525061,156630,3,new shannonberg,New Shannonberg,KY,Gambia,3,1,Low
41,F,Master's,Widowed,79556,742,5235,Home,Employed,5,Excellent,0.322356139,247857,0,onealfurt,Onealfurt,WA,Romania,4,0,Low
57,M,Master's,Single,116102,629,31831,Home,Employed,16,Excellent,0.516362513,228018,4,smithborough,Smithborough,IA,Palestinian Territory,2,0,Medium
52,M,High School,Married,32094,634,17612,Home,Self-employed,17,Good,0.549456544,114375,2,west robert,West Robert,IA,Singapore,2,0,Medium
55,Non-binary,Master's,Widowed,108177,735,23616,Business,Employed,12,Fair,0.335284356,165613,2,barneston,Barneston,CA,Saint Pierre and Miquelon,1,2,Medium
41,F,PhD,Widowed,96591,722,7260,Home,Employed,12,Fair,0.584494809,102681,0,new shelby,New Shelby,KS,Lesotho,2,2,Medium
18,Non-binary,Master's,Single,,651,18653,Home,Self-employed,16,Good,0.49222995,226806,0,curtisville,Curtisville,PW,Mayotte,3,1,High
67,M,Master's,Widowed,107366,655,20154,Home,Employed,9,Poor,0.416617868,108345,4,new valerie,New Valerie,GA,Monaco,4,1,Low
60,F,PhD,Married,74030,711,9459,Personal,Unemployed,19,Fair,0.160676888,96641,2,lake daniel,Lake Daniel,PW,Argentina,0,2,Low
39,M,Master's,Divorced,56116,636,16578,Personal,Employed,12,Excellent,0.313107732,197835,1,johnnyberg,Johnnyberg,NY,South Africa,1,0,Medium
64,M,PhD,Single,101855,686,48584,Auto,Self-employed,9,Good,0.572524406,138039,3,east keith,East Keith,MS,El Salvador,3,1,Low
40,M,PhD,Single,89535,624,12990,Auto,Unemployed,6,Good,0.117355071,48187,,south haileyview,South Haileyview,NC,Suriname,3,2,Low
39,Non-binary,High School,Widowed,99622,720,23158,Auto,Employed,6,Good,0.419813928,65046,4,new ashley,New Ashley,MN,El Salvador,2,1,Low
67,M,PhD,Divorced,110896,689,11503,Business,Self-employed,9,Excellent,0.106251703,121360,0,new russellfurt,New Russellfurt,HI,Jersey,2,0,Medium
28,F,PhD,Single,64541,703,20017,Auto,Self-employed,1,Good,0.206311988,24856,4,lake keithtown,Lake Keithtown,MO,Suriname,1,1,High
40,M,Bachelor's,Divorced,,721,41599,Auto,Unemployed,19,Fair,0.363903795,234986,,south amanda,South Amanda,HI,Iran,1,1,Low
31,F,PhD,Widowed,50885,669,18293,Home,Unemployed,7,Poor,0.258570035,99103,4,margaretchester,Margaretchester,KY,Mayotte,3,2,Low
48,M,Master's,Divorced,107050,711,14382,Business,Self-employed,3,Excellent,0.502107966,142063,1,new janet,New Janet,CT,Samoa,1,1,Medium
35,M,High School,Divorced,114877,699,46113,Business,Unemployed,6,Excellent,0.389906857,254153,0,port andreamouth,Port Andreamouth,WV,Luxembourg,1,1,Medium
36,F,Bachelor's,Divorced,44283,755,42326,Personal,Self-employed,7,Poor,0.116135309,228890,4,turnerchester,Turnerchester,NV,Micronesia,0,2,Low
59,F,High School,Single,60385,743,30961,Business,Self-employed,19,Excellent,0.383779017,222830,4,greenport,Greenport,WV,Azerbaijan,2,0,Low
43,F,Bachelor's,Single,29797,727,10640,Business,Self-employed,14,Excellent,0.509303064,89291,4,frankport,Frankport,NE,Austria,3,0,Low
39,Non-binary,Bachelor's,Divorced,31137,757,7326,Personal,Unemployed,9,Poor,0.441794267,68848,3,north nathantown,North Nathantown,MN,Indonesia,1,2,Medium
62,F,PhD,Divorced,115923,726,37406,Personal,Self-employed,17,Good,0.287310878,154178,1,west elizabethside,West Elizabethside,MA,Peru,2,1,High
22,F,High School,Widowed,69738,727,15974,Auto,Self-employed,10,Good,0.387483457,238717,1,new kathryn,New Kathryn,OR,Norway,0,1,Low
37,Non-binary,PhD,Divorced,76795,645,33454,Personal,Self-employed,13,Excellent,0.508511242,40258,4,andreaborough,Andreaborough,NV,Bangladesh,3,0,Low
58,Non-binary,Bachelor's,Single,,791,34903,Auto,Self-employed,7,Good,0.177489309,236635,3,new marisashire,New Marisashire,NE,Namibia,0,0,Low
27,Non-binary,High School,Widowed,61232,643,46522,Business,Unemployed,6,Fair,0.151099075,285561,2,villafurt,Villafurt,RI,Sao Tome and Principe,2,0,Low
34,F,High School,Widowed,118679,731,40823,Auto,Employed,6,Poor,0.353951633,63853,,north jeremy,North Jeremy,AS,Georgia,0,2,Low
65,M,Master's,Single,89126,643,38741,Auto,Employed,0,Excellent,0.131449159,50589,1,new julieside,New Julieside,AK,Martinique,4,0,High
66,Non-binary,PhD,Widowed,104677,784,24588,Home,Unemployed,9,Fair,0.304836002,50584,4,south karen,South Karen,NM,Finland,4,0,Low
30,Non-binary,PhD,Single,,699,29559,Home,Unemployed,10,Poor,0.181094003,203837,0,north amber,North Amber,NE,United States Virgin Islands,0,0,Low
27,Non-binary,Master's,Divorced,80523,604,13043,Auto,Employed,15,Excellent,0.112270249,201865,3,north jessicachester,North Jessicachester,WY,Andorra,4,1,Low
67,F,Bachelor's,Divorced,,750,46529,Auto,Self-employed,19,Fair,0.448739802,290306,0,hodgesville,Hodgesville,NV,Micronesia,0,1,Low
43,Non-binary,Master's,Single,87687,791,16663,Auto,Unemployed,9,Fair,0.315225662,291278,,jordanville,Jordanville,CT,Solomon Islands,1,0,Medium
35,M,Bachelor's,Widowed,,711,15286,Personal,Employed,1,Excellent,0.383451591,156329,,north taylorville,North Taylorville,NV,Niger,2,0,Low
37,F,PhD,Single,20987,640,8042,Home,Employed,12,Fair,0.442812684,55772,3,bradleyshire,Bradleyshire,NE,Falkland Islands (Malvinas),1,1,Low
31,F,Master's,Widowed,108454,716,33552,Personal,Unemployed,8,Poor,0.588002314,24976,,south danielleview,South Danielleview,VT,Chile,2,0,High
26,M,High School,Widowed,28583,611,29949,Personal,Employed,19,Excellent,0.200143793,139629,3,west ashleyberg,West Ashleyberg,KS,Libyan Arab Jamahiriya,2,0,Medium
43,F,PhD,Divorced,,705,12071,Business,Employed,8,Good,0.119108756,85658,,andrewshire,Andrewshire,DE,Djibouti,2,0,Low
21,M,Bachelor's,Divorced,39330,769,27489,Home,Self-employed,14,Excellent,0.454610825,284455,3,martinezmouth,Martinezmouth,PA,Costa Rica,0,2,Low
52,Non-binary,PhD,Divorced,111594,715,9174,Home,Unemployed,4,Good,0.100815126,137074,2,victoriamouth,Victoriamouth,MN,Western Sahara,2,1,Low
27,F,High School,Divorced,102789,742,10729,Business,Employed,17,Good,0.271307607,269293,0,lauratown,Lauratown,AL,Vanuatu,1,0,Medium
34,Non-binary,Bachelor's,Widowed,,793,21504,Auto,Employed,12,Good,0.435937741,179496,2,karenton,Karenton,KS,Mali,2,1,Low
63,F,Bachelor's,Divorced,101844,688,9667,Home,Employed,1,Excellent,0.251662122,61882,,west robin,West Robin,IL,Somalia,4,2,Low
47,Non-binary,High School,Married,28673,699,19540,Auto,Unemployed,19,Fair,0.408040672,255563,0,north bonnie,North Bonnie,MI,Mali,1,2,Medium
22,F,Bachelor's,Widowed,35973,663,19492,Auto,Unemployed,2,Good,0.432494288,82006,3,hartmanmouth,Hartmanmouth,VI,Suriname,0,0,Medium
41,M,Bachelor's,Single,62011,747,15722,Business,Employed,3,Poor,0.176553915,259195,2,garrettton,Garrettton,MD,Romania,3,0,Medium
65,F,High School,Divorced,,618,27165,Home,Self-employed,4,Poor,0.242235447,219776,2,jonesfurt,Jonesfurt,SD,Antarctica (the territory South of 60 deg S),2,1,Low
54,M,Bachelor's,Married,114486,704,32353,Auto,Self-employed,7,Poor,0.400318279,222630,1,jarviston,Jarviston,KY,Saint Pierre and Miquelon,1,1,Low
34,F,Bachelor's,Single,42064,760,39482,Personal,Employed,0,Excellent,0.201900219,243318,0,krystalberg,Krystalberg,PA,Lesotho,3,2,Low
43,F,PhD,Widowed,31231,712,48935,Personal,Employed,8,Good,0.10750652,277314,2,south kent,South Kent,CT,Pakistan,3,0,Medium
47,M,Bachelor's,Married,85651,799,17157,Auto,Unemployed,2,Fair,0.541920866,200136,3,matthewshire,Matthewshire,RI,Grenada,3,0,Medium
45,M,Bachelor's,Divorced,85839,686,29177,Business,Self-employed,11,Excellent,0.260055213,114053,0,port vickie,Port Vickie,LA,New Caledonia,4,0,Low
20,Non-binary,Bachelor's,Single,109590,625,41449,Personal,Self-employed,16,Fair,0.519828253,114922,1,annettemouth,Annettemouth,PR,Cape Verde,4,2,Low
43,Non-binary,Bachelor's,Widowed,68960,675,25542,Personal,Employed,10,Good,0.436279996,60758,,east nancy,East Nancy,AZ,Vanuatu,2,2,Medium
47,Non-binary,High School,Single,58217,658,15328,Business,Unemployed,11,Poor,0.525407258,169695,0,east nicholas,East Nicholas,NH,Angola,0,0,Medium
49,Non-binary,Bachelor's,Married,105916,750,6324,Personal,Unemployed,17,Poor,0.269984459,89195,2,new phillip,New Phillip,SD,Peru,1,1,High
62,Non-binary,Master's,Single,74850,650,17324,Personal,Self-employed,14,Excellent,0.191276675,151244,0,new catherineton,New Catherineton,OR,Marshall Islands,0,2,Low
40,M,Bachelor's,Single,90179,693,32825,Personal,Self-employed,5,Good,0.584147345,129600,3,brownville,Brownville,IL,Wallis and Futuna,4,1,Low
31,M,High School,Married,34002,738,23618,Home,Unemployed,6,Fair,0.17305568,269695,3,davismouth,Davismouth,AL,Peru,2,1,Low
33,Non-binary,Master's,Married,74333,693,47328,Personal,Unemployed,5,Poor,0.522094083,111726,,port mandyland,Port Mandyland,CA,Italy,1,0,Low
58,M,High School,Divorced,109067,790,35949,Home,Self-employed,14,Poor,0.398211352,206088,,marieside,Marieside,NV,Zambia,1,0,Medium
48,M,Master's,Divorced,37540,673,34317,Home,Employed,7,Poor,0.505902726,32715,4,new sara,New Sara,NE,Morocco,4,1,Medium
55,Non-binary,High School,Divorced,98283,650,42997,Auto,Unemployed,17,Fair,0.486638679,178174,4,east john,East John,ID,Argentina,0,0,Low
65,M,High School,Single,27826,736,43125,Auto,Employed,18,Good,0.253161468,118770,0,west david,West David,FL,Iraq,3,1,Medium
54,Non-binary,Master's,Single,62296,744,23778,Business,Self-employed,1,Excellent,0.203052807,173854,0,port sandra,Port Sandra,DE,Bulgaria,1,0,High
37,F,PhD,Married,111551,632,10074,Business,Employed,6,Excellent,0.58737792,66221,,tanyafort,Tanyafort,OK,Saint Helena,2,0,Medium
30,F,Bachelor's,Widowed,113925,611,48919,Business,Unemployed,19,Poor,0.470940166,28459,,holmesmouth,Holmesmouth,RI,Malta,3,1,Low
30,Non-binary,Master's,Widowed,114499,779,40584,Auto,Self-employed,6,Fair,0.284052614,76919,3,new susan,New Susan,AR,Mauritius,2,1,Low
19,F,Bachelor's,Single,83471,793,8810,Personal,Self-employed,14,Excellent,0.511546796,145761,4,baileystad,Baileystad,ND,Mauritania,1,0,Low
54,F,Bachelor's,Divorced,54560,760,30826,Auto,Employed,11,Poor,0.568217248,21537,,kennethberg,Kennethberg,MP,Iceland,2,2,Low
19,F,Master's,Divorced,115381,727,40970,Auto,Self-employed,14,Good,0.451811592,291530,1,hunterside,Hunterside,SC,Namibia,0,0,Low
43,M,Master's,Divorced,81683,693,10316,Home,Employed,2,Good,0.351319135,28304,3,dyerfort,Dyerfort,MS,Holy See (Vatican City State),0,0,Low
51,Non-binary,Master's,Widowed,72299,676,37088,Auto,Unemployed,3,Fair,0.546674527,163332,,kennethshire,Kennethshire,HI,Anguilla,2,2,Medium
19,M,Master's,Widowed,106009,681,22351,Business,Self-employed,2,Excellent,0.587210053,162947,,north daniel,North Daniel,AZ,Vietnam,4,0,Low
25,Non-binary,Master's,Single,37330,797,28892,Personal,Unemployed,11,Excellent,0.45114276,247877,3,keithberg,Keithberg,IL,Iraq,2,1,Medium
59,Non-binary,Bachelor's,Single,,688,25432,Business,Unemployed,15,Good,0.540746534,275015,4,rileyfurt,Rileyfurt,MS,Luxembourg,4,0,Medium
32,F,PhD,Single,99688,732,12429,Home,Unemployed,8,Poor,0.430234003,267072,0,port sarahton,Port Sarahton,MI,North Macedonia,3,2,Medium
44,F,Master's,Single,,791,30191,Home,Unemployed,13,Good,0.174938787,263286,3,jacksonberg,Jacksonberg,UT,Slovakia (Slovak Republic),4,1,Low
60,M,PhD,Married,114018,636,28620,Business,Employed,1,Excellent,0.261044262,38980,3,west kaylee,West Kaylee,CO,Liberia,1,1,Medium
51,Non-binary,High School,Divorced,62262,606,6667,Personal,Unemployed,4,Good,0.545189542,268305,,new paulside,New Paulside,TN,Qatar,1,1,Low
35,F,PhD,Single,39629,622,9537,Home,Unemployed,2,Fair,0.524358189,48636,1,desireeville,Desireeville,DC,Sao Tome and Principe,4,0,Low
66,F,High School,Single,61291,639,7908,Personal,Unemployed,12,Poor,0.168999693,33810,1,port david,Port David,WA,Mayotte,3,2,Low
46,F,Master's,Married,34284,775,26340,Personal,Self-employed,14,Fair,0.400353991,64156,4,new melissamouth,New Melissamouth,NV,Wallis and Futuna,0,2,Medium
33,M,Master's,Married,115066,799,31359,Home,Self-employed,5,Excellent,0.228569153,142354,,north brianbury,North Brianbury,OK,Mexico,4,1,Low
28,Non-binary,Bachelor's,Divorced,98311,689,34763,Business,Employed,8,Excellent,0.388665461,216062,0,west deanna,West Deanna,TN,India,3,2,Low
67,M,Bachelor's,Widowed,63148,660,16704,Auto,Self-employed,0,Fair,0.334344621,40643,0,kimberlychester,Kimberlychester,TX,Tajikistan,4,2,Low
27,Non-binary,PhD,Married,114436,775,39216,Business,Employed,7,Excellent,0.102012992,158498,,torresbury,Torresbury,FL,South Georgia and the South Sandwich Islands,2,1,Low
28,M,Bachelor's,Single,94693,718,20928,Business,Unemployed,5,Fair,0.323849811,257028,2,josephstad,Josephstad,MP,Georgia,4,2,Low
20,F,PhD,Married,102245,686,33967,Business,Unemployed,4,Fair,0.192680772,116854,,new frank,New Frank,CA,Rwanda,2,2,Medium
27,M,High School,Single,88173,746,14800,Personal,Self-employed,8,Fair,0.538712246,289092,0,south susanfurt,South Susanfurt,KY,Congo,1,1,Low
34,Non-binary,High School,Married,70807,745,39572,Business,Employed,18,Good,0.433975274,130451,3,south audrey,South Audrey,MP,Saint Lucia,4,0,Low
38,F,High School,Divorced,99314,656,17158,Personal,Self-employed,8,Excellent,0.123889568,162247,4,diazview,Diazview,GU,Yemen,2,1,Low
48,M,Bachelor's,Single,25465,671,36672,Auto,Self-employed,8,Fair,0.255003057,237546,4,markville,Markville,PA,Romania,1,1,Medium
40,F,High School,Widowed,104766,688,35808,Business,Employed,15,Poor,0.320768316,198067,1,west scottshire,West Scottshire,MS,Falkland Islands (Malvinas),4,1,High
69,F,Master's,Divorced,118995,787,14398,Auto,Employed,15,Good,0.488273727,148047,0,clarkborough,Clarkborough,DE,Bermuda,3,1,Medium
31,Non-binary,High School,Widowed,63322,773,8074,Business,Employed,5,Fair,0.381467098,267802,3,port michaelmouth,Port Michaelmouth,ID,Romania,1,0,High
43,F,Master's,Single,34821,775,22889,Personal,Unemployed,18,Good,0.11872158,278194,0,lake james,Lake James,MD,Niue,3,2,High
18,Non-binary,High School,Widowed,99671,669,30460,Personal,Unemployed,18,Poor,0.433812231,25531,1,jacquelineborough,Jacquelineborough,MP,Greece,1,1,Medium
56,M,High School,Widowed,73953,710,42364,Home,Self-employed,1,Good,0.555770849,152625,1,north michael,North Michael,NY,United States Minor Outlying Islands,2,2,Medium
53,F,PhD,Divorced,88669,720,17468,Home,Self-employed,6,Excellent,0.575977216,199129,0,west daniel,West Daniel,NE,Japan,4,1,Low
33,Non-binary,Bachelor's,Single,46953,627,23284,Business,Self-employed,7,Good,0.233152718,192563,3,west michelle,West Michelle,VA,Monaco,0,1,Medium
41,F,High School,Married,89852,676,27422,Home,Self-employed,9,Excellent,0.486273411,205004,1,loweryland,Loweryland,VT,Tonga,4,0,Low
62,M,PhD,Divorced,87384,606,7297,Business,Self-employed,4,Good,0.450293387,232491,3,west melanieton,West Melanieton,MH,Taiwan,0,0,Low
32,F,Bachelor's,Married,78360,608,47644,Home,Unemployed,1,Fair,0.112276192,271432,3,east veronica,East Veronica,KY,Tajikistan,4,0,Low
58,Non-binary,PhD,Widowed,64153,658,12202,Home,Employed,12,Fair,0.179217424,186472,,south lancehaven,South Lancehaven,FM,Sri Lanka,0,2,Low
30,Non-binary,Master's,Married,55059,756,7413,Personal,Employed,5,Good,0.494801779,29295,4,walkerborough,Walkerborough,WA,Tunisia,0,2,Low
59,F,Master's,Married,77564,612,12357,Business,Employed,1,Good,0.453394498,111458,0,tylerport,Tylerport,DE,Marshall Islands,2,1,Medium
54,F,Master's,Divorced,,642,22439,Home,Employed,12,Good,0.450881946,136141,2,north vickieborough,North Vickieborough,WV,Sudan,2,2,Low
67,M,PhD,Single,,672,20203,Auto,Employed,1,Poor,0.294590006,182768,0,lake juliechester,Lake Juliechester,MT,China,0,1,Low
66,M,Master's,Divorced,64764,600,25486,Auto,Employed,17,Good,0.454795899,79556,1,new latashabury,New Latashabury,AZ,Reunion,1,0,Medium
32,F,High School,Widowed,118580,636,13116,Home,Self-employed,7,Fair,0.120713199,267284,3,savannahfurt,Savannahfurt,NC,Mauritius,0,1,Low
20,F,High School,Married,41961,612,30866,Auto,Employed,11,Excellent,0.300160555,294593,0,port kentberg,Port Kentberg,CO,Brunei Darussalam,2,1,Low
35,F,Master's,Divorced,84766,622,20645,Business,Unemployed,6,Fair,0.507552882,77868,3,blackwellchester,Blackwellchester,AR,Cote d'Ivoire,1,1,Medium
47,F,Bachelor's,Married,100664,725,12939,Personal,Unemployed,2,Good,0.143515494,258171,,port kimberlyside,Port Kimberlyside,DC,Zambia,1,1,Low
36,Non-binary,Master's,Divorced,44448,631,30975,Auto,Self-employed,18,Good,0.194279933,130657,2,south matthewmouth,South Matthewmouth,MP,Bhutan,3,1,High
68,F,High School,Single,113923,601,44653,Auto,Employed,1,Good,0.270090609,263788,2,new lindsay,New Lindsay,OH,Mayotte,2,2,High
29,F,Bachelor's,Married,58785,644,19414,Home,Employed,3,Poor,0.210365536,71979,,crossland,Crossland,AS,Costa Rica,1,1,Low
28,M,Bachelor's,Single,83969,671,44332,Business,Employed,16,Fair,0.45700939,88597,0,julieborough,Julieborough,FM,United States of America,2,2,Low
66,Non-binary,PhD,Divorced,111109,664,16734,Auto,Unemployed,0,Fair,0.201180173,246188,0,port frank,Port Frank,RI,Grenada,2,2,High
36,F,PhD,Widowed,52548,766,8458,Auto,Employed,11,Fair,0.240513252,62171,1,simsfurt,Simsfurt,WI,Falkland Islands (Malvinas),3,1,Low
45,F,High School,Divorced,,798,43226,Business,Unemployed,4,Excellent,0.506575896,251522,0,new angelabury,New Angelabury,VT,Faroe Islands,2,0,Low
56,Non-binary,High School,Divorced,36600,724,26718,Business,Unemployed,17,Excellent,0.179215904,34116,4,henrystad,Henrystad,PR,Libyan Arab Jamahiriya,4,0,Low
46,M,PhD,Married,37986,741,5217,Personal,Unemployed,11,Excellent,0.24326904,24766,4,north stephanie,North Stephanie,LA,Saint Lucia,2,2,Medium
27,F,Bachelor's,Single,55423,785,10956,Personal,Employed,7,Fair,0.3365854,73141,4,port lindseyfort,Port Lindseyfort,MO,Saint Kitts and Nevis,1,1,Medium
68,Non-binary,High School,Widowed,107151,754,39626,Business,Employed,13,Fair,0.302066201,147103,1,south aprilbury,South Aprilbury,TX,Equatorial Guinea,2,2,Low
54,M,High School,Married,23794,754,42272,Personal,Unemployed,5,Good,0.534887509,273159,4,mannmouth,Mannmouth,MT,Angola,3,2,High
21,F,Master's,Married,38047,752,40762,Home,Unemployed,4,Poor,0.34395259,233376,,aaronstad,Aaronstad,NJ,Slovenia,2,0,Low
67,F,High School,Single,,679,5317,Auto,Unemployed,12,Poor,0.35200248,202102,4,jonathanmouth,Jonathanmouth,DE,Guinea-Bissau,4,0,Medium
